Date,HomeTeam,AwayTeam,FTR,TotalMatches_Home,TotalWins_Home,TotalDraws_Home,TotalLosses_Home,TotalGoalsScored_Home,TotalGoalsConceded_Home,TotalGoalsScored_HomeTeam,TotalGoalsConceded_HomeTeam,GoalDifference_HomeTeam,TotalPoints_HomeTeam,TotalMatches_HomeTeam,WinRatio_HomeTeam,DrawRatio_HomeTeam,LossRatio_HomeTeam,AverageGoalsScored_HomeTeam,AverageGoalsConceded_HomeTeam,Ranking_HomeTeam,FormScore_HomeTeam,TotalMatches_Away,TotalWins_Away,TotalDraws_Away,TotalLosses_Away,TotalGoalsScored_Away,TotalGoalsConceded_Away,TotalGoalsScored_AwayTeam,TotalGoalsConceded_AwayTeam,GoalDifference_AwayTeam,TotalPoints_AwayTeam,TotalMatches_AwayTeam,WinRatio_AwayTeam,DrawRatio_AwayTeam,LossRatio_AwayTeam,AverageGoalsScored_AwayTeam,AverageGoalsConceded_AwayTeam,Ranking_AwayTeam,FormScore_AwayTeam,FTR_encoded
27/10/2023,Crystal Palace,Tottenham,A,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,15,6,6,3,31,24,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,2
28/10/2023,Chelsea,Brentford,A,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,16,3,2,11,20,28,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,2
28/10/2023,Arsenal,Sheffield United,H,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,0
28/10/2023,Bournemouth,Burnley,H,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,0
28/10/2023,Wolves,Newcastle,D,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,1
29/10/2023,West Ham,Everton,A,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,2
29/10/2023,Aston Villa,Luton,H,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,16,2,4,10,21,38,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,0
29/10/2023,Brighton,Fulham,D,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,1
29/10/2023,Liverpool,Nott'm Forest,H,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,0
29/10/2023,Man United,Man City,A,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,15,10,2,3,33,18,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,2
04/11/2023,Fulham,Man United,A,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,2
04/11/2023,Brentford,West Ham,H,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,16,7,2,7,26,33,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,0
04/11/2023,Burnley,Crystal Palace,A,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,16,3,5,8,15,30,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,2
04/11/2023,Everton,Brighton,D,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,1
04/11/2023,Man City,Bournemouth,H,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,0
04/11/2023,Sheffield United,Wolves,H,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,16,5,3,8,21,26,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,0
04/11/2023,Newcastle,Arsenal,H,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,0
05/11/2023,Nott'm Forest,Aston Villa,H,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,0
05/11/2023,Luton,Liverpool,D,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,1
06/11/2023,Tottenham,Chelsea,A,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,2
11/11/2023,Wolves,Tottenham,H,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,15,6,6,3,31,24,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,0
11/11/2023,Arsenal,Burnley,H,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,0
11/11/2023,Crystal Palace,Everton,A,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,2
11/11/2023,Man United,Luton,H,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,16,2,4,10,21,38,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,0
11/11/2023,Bournemouth,Newcastle,H,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,0
12/11/2023,Aston Villa,Fulham,H,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,0
12/11/2023,Brighton,Sheffield United,D,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,1
12/11/2023,Liverpool,Brentford,H,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,16,3,2,11,20,28,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,0
12/11/2023,West Ham,Nott'm Forest,H,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,0
12/11/2023,Chelsea,Man City,D,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,15,10,2,3,33,18,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,1
25/11/2023,Man City,Liverpool,D,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,1
25/11/2023,Burnley,West Ham,A,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,16,7,2,7,26,33,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,2
25/11/2023,Luton,Crystal Palace,H,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,16,3,5,8,15,30,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,0
25/11/2023,Newcastle,Chelsea,H,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,0
25/11/2023,Nott'm Forest,Brighton,A,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,2
25/11/2023,Sheffield United,Bournemouth,A,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,2
25/11/2023,Brentford,Arsenal,A,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,2
26/11/2023,Tottenham,Aston Villa,A,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,2
26/11/2023,Everton,Man United,A,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,2
27/11/2023,Fulham,Wolves,H,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,16,5,3,8,21,26,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,0
02/12/2023,Arsenal,Wolves,H,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,16,5,3,8,21,26,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,0
02/12/2023,Brentford,Luton,H,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,16,2,4,10,21,38,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,0
02/12/2023,Burnley,Sheffield United,H,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,0
02/12/2023,Nott'm Forest,Everton,A,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,2
02/12/2023,Newcastle,Man United,H,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,0
03/12/2023,Bournemouth,Aston Villa,D,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,1
03/12/2023,Chelsea,Brighton,H,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,0
03/12/2023,Liverpool,Fulham,H,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,0
03/12/2023,West Ham,Crystal Palace,D,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,16,3,5,8,15,30,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,1
03/12/2023,Man City,Tottenham,D,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,15,6,6,3,31,24,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,1
05/12/2023,Wolves,Burnley,H,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,0
05/12/2023,Luton,Arsenal,A,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,2
06/12/2023,Brighton,Brentford,H,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,16,3,2,11,20,28,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,0
06/12/2023,Crystal Palace,Bournemouth,A,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,2
06/12/2023,Fulham,Nott'm Forest,H,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,0
06/12/2023,Sheffield United,Liverpool,A,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,2
06/12/2023,Aston Villa,Man City,H,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,15,10,2,3,33,18,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,0
06/12/2023,Man United,Chelsea,H,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,0
07/12/2023,Everton,Newcastle,H,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,0
07/12/2023,Tottenham,West Ham,A,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,16,7,2,7,26,33,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,2
09/12/2023,Crystal Palace,Liverpool,A,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,2
09/12/2023,Brighton,Burnley,D,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,1
09/12/2023,Man United,Bournemouth,A,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,2
09/12/2023,Sheffield United,Brentford,H,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,16,3,2,11,20,28,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,0
09/12/2023,Wolves,Nott'm Forest,D,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,1
09/12/2023,Aston Villa,Arsenal,H,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,0
10/12/2023,Everton,Chelsea,H,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,0
10/12/2023,Fulham,West Ham,H,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,16,7,2,7,26,33,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,0
10/12/2023,Luton,Man City,A,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,15,10,2,3,33,18,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,2
10/12/2023,Tottenham,Newcastle,H,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,0
15/12/2023,Nott'm Forest,Tottenham,A,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,15,6,6,3,31,24,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,2
16/12/2023,Chelsea,Sheffield United,H,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,0
16/12/2023,Man City,Crystal Palace,D,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,16,3,5,8,15,30,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,1
16/12/2023,Newcastle,Fulham,H,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,0
16/12/2023,Burnley,Everton,A,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,2
17/12/2023,Arsenal,Brighton,H,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,0
17/12/2023,Brentford,Aston Villa,A,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,2
17/12/2023,West Ham,Wolves,H,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,16,5,3,8,21,26,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,0
17/12/2023,Liverpool,Man United,D,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,1
21/12/2023,Crystal Palace,Brighton,D,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,1
22/12/2023,Aston Villa,Sheffield United,D,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,1
23/12/2023,West Ham,Man United,H,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,0
23/12/2023,Fulham,Burnley,A,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,2
23/12/2023,Luton,Newcastle,H,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,0
23/12/2023,Nott'm Forest,Bournemouth,A,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,2
23/12/2023,Tottenham,Everton,H,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,0
23/12/2023,Liverpool,Arsenal,D,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,1
24/12/2023,Wolves,Chelsea,H,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,0
26/12/2023,Newcastle,Nott'm Forest,A,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,2
26/12/2023,Bournemouth,Fulham,H,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,0
26/12/2023,Sheffield United,Luton,A,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,16,2,4,10,21,38,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,2
26/12/2023,Burnley,Liverpool,A,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,2
26/12/2023,Man United,Aston Villa,H,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,0
